model_name,display_name,feature,mean_abs_lime_weight,mean_lime_weight,explanation_count,rank
mlp,MLP,ShapeFactor1,0.10737882585532929,0.0783415385404844,40,1
mlp,MLP,MinorAxisLength,0.057995650449635075,0.05782376089610323,40,2
mlp,MLP,Area,0.05607106633804585,0.05604057761418524,40,3
mlp,MLP,MajorAxisLength,0.04704536802878097,0.04022608762809808,40,4
mlp,MLP,ConvexArea,0.04496122361860781,0.04447465441355543,40,5
mlp,MLP,ShapeFactor4,0.044836289961675754,0.010370701638838468,40,6
mlp,MLP,Perimeter,0.04333481005140814,0.037733840662381994,40,7
mlp,MLP,roundness,0.04143229089197698,0.036697232386939053,40,8
mlp,MLP,ShapeFactor2,0.0344960354277751,0.016207276332830582,40,9
mlp,MLP,EquivDiameter,0.03367382569520809,0.03225012436398528,40,10
mlp,MLP,AspectRation,0.030227302870511712,0.003617557463623488,40,11
mlp,MLP,Solidity,0.02918356316285261,-0.003766676564899947,40,12
mlp,MLP,Compactness,0.020864439965464682,0.004886246965349637,40,13
mlp,MLP,Eccentricity,0.020023038863257583,0.0050591450536837885,40,14
mlp,MLP,Extent,0.014914375866124468,0.0023527954321644782,40,15
mlp,MLP,ShapeFactor3,0.010393267621768527,0.005488420799390704,40,16
