seed,model_name,display_name,input_type,explainer_type,feature,mean_abs_shap,rank
1,random_forest,Random Forest,unscaled,tree,Perimeter,0.034279053912160004,1
1,random_forest,Random Forest,unscaled,tree,MajorAxisLength,0.028789454268232737,2
1,random_forest,Random Forest,unscaled,tree,MinorAxisLength,0.02588047404230059,3
1,random_forest,Random Forest,unscaled,tree,ShapeFactor1,0.02544134646690818,4
1,random_forest,Random Forest,unscaled,tree,ConvexArea,0.02491034452472419,5
1,random_forest,Random Forest,unscaled,tree,ShapeFactor3,0.02009155818607731,6
1,random_forest,Random Forest,unscaled,tree,roundness,0.01901933483818203,7
1,random_forest,Random Forest,unscaled,tree,Compactness,0.01842698379494135,8
1,random_forest,Random Forest,unscaled,tree,Area,0.017040238906070516,9
1,random_forest,Random Forest,unscaled,tree,EquivDiameter,0.015252972501441133,10
1,random_forest,Random Forest,unscaled,tree,ShapeFactor4,0.014252096567172669,11
1,random_forest,Random Forest,unscaled,tree,ShapeFactor2,0.009920085315129393,12
1,random_forest,Random Forest,unscaled,tree,Eccentricity,0.009826936041019717,13
1,random_forest,Random Forest,unscaled,tree,AspectRation,0.009784920778029406,14
1,random_forest,Random Forest,unscaled,tree,Solidity,0.007196014377344822,15
1,random_forest,Random Forest,unscaled,tree,Extent,0.0029799635309541704,16
